epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,989.618,1.47713,1.6848,1.01339,0.00866,0.89355,0.84871,0.78049,0.8735,0.54993,0.83933,0.77222,0.86288,0.50904,1.36762,1.74341,0.79961,0.00979,0,0.0009308,0.0009308,0.0009308
29,1022.21,1.49821,1.72499,1.03341,0.00881,0.90222,0.80769,0.79348,0.86334,0.54358,0.79666,0.78358,0.84713,0.47121,1.3583,1.77208,0.86628,0.00965,0,0.0008912,0.0008912,0.0008912
30,1053.77,1.44637,1.67671,0.97991,0.00861,0.87101,0.83905,0.81304,0.88909,0.53512,0.82684,0.7993,0.86755,0.44872,1.40809,1.74643,0.8212,0.01013,0,0.0008516,0.0008516,0.0008516
31,1084.04,1.4693,1.68351,0.9715,0.00853,0.81069,0.86522,0.76739,0.87739,0.55721,0.84803,0.77391,0.86927,0.49401,1.32313,1.80378,0.79338,0.0094,0,0.000812,0.000812,0.000812
32,1115.76,1.42029,1.63837,0.95609,0.0083,0.79409,0.8374,0.79565,0.86667,0.54609,0.82123,0.77896,0.84993,0.48722,1.37928,1.75559,0.82912,0.0098,0,0.0007724,0.0007724,0.0007724
33,1148.67,1.4462,1.64176,0.95215,0.00842,0.82424,0.86857,0.80652,0.89273,0.55657,0.88196,0.78478,0.89088,0.50751,1.35207,1.67797,0.75539,0.00961,0,0.0007328,0.0007328,0.0007328
34,1179.66,1.435,1.57399,0.93002,0.00826,0.77832,0.88214,0.81352,0.89123,0.57001,0.86205,0.80153,0.87132,0.4896,1.32164,1.69931,0.75348,0.0092,0,0.0006932,0.0006932,0.0006932
35,1210.82,1.45981,1.62083,0.94212,0.00842,0.80688,0.86289,0.80719,0.89187,0.5536,0.85824,0.80284,0.8848,0.49369,1.36067,1.79664,0.7826,0.00976,0,0.0006536,0.0006536,0.0006536
36,1241.52,1.4036,1.61924,0.89518,0.00819,0.78092,0.8325,0.81304,0.86162,0.53554,0.83053,0.8087,0.86873,0.48142,1.35736,1.79253,0.81022,0.00998,0,0.000614,0.000614,0.000614
37,1272.58,1.42591,1.59672,0.92328,0.00859,0.79165,0.84641,0.87457,0.90941,0.58144,0.84138,0.8587,0.89595,0.50695,1.29883,1.70329,0.70968,0.00913,0,0.0005744,0.0005744,0.0005744
